iter	RMSE
0	154.2903083
1	152.0929338
2	149.8869912
3	148.2552076
4	146.3861938
5	144.3986295
6	142.5630778
7	140.9837049
8	139.2114921
9	137.5936213
10	136.0314983
11	134.4659013
12	132.6703815
13	130.9582181
14	129.2169788
15	127.520937
16	125.5698969
17	124.5463925
18	123.1978827
19	122.0184155
20	120.6313151
21	119.0690653
22	117.6737319
23	116.2676827
24	114.7358314
25	113.1175816
26	111.8745482
27	110.688159
28	109.4661284
29	107.9705057
30	106.6806696
31	105.3252973
32	103.9142849
33	102.8600583
34	101.3560936
35	100.3582494
36	99.24965846
37	97.771013
38	96.79889123
39	95.61743443
40	94.24018067
41	93.41408674
42	92.35347552
43	91.21716691
44	90.36787254
45	89.25307141
46	88.10753123
47	87.33309317
48	86.38832953
49	85.66744536
50	84.72629164
51	83.40924622
52	82.57364415
53	81.71915268
54	80.6890333
55	79.81546686
56	79.0964222
57	78.3160057
58	77.34231309
59	76.5195894
60	75.79978988
61	74.94385529
62	73.87913715
63	73.12239955
64	72.11703267
65	71.38981543
66	70.31495759
67	69.66179078
68	68.94489764
69	68.23067619
70	67.51812099
71	66.63705381
72	66.08069575
73	65.35752092
74	64.65022041
75	63.95720223
76	63.36231992
77	62.54172517
78	61.94106366
79	61.20099945
80	60.34526029
81	59.45335749
82	58.80099126
83	58.07911523
84	57.58940194
85	57.02878125
86	56.12715543
87	55.62015419
88	55.22433166
89	54.62071596
90	54.04264856
91	53.50630112
92	53.04035979
93	52.55373743
94	52.04542001
95	51.39758095
96	50.90398431
97	50.35650142
98	49.62515398
99	49.03042676
100	48.55854391
101	48.10134956
102	47.56858822
103	47.18939328
104	46.68236891
105	46.24343682
106	45.80061767
107	45.19441806
108	44.83886388
109	44.42897953
110	43.9140162
111	43.43774521
112	42.92439733
113	42.47831719
114	41.90733118
115	41.51538668
116	41.14613163
117	40.75972627
118	40.21968459
119	39.85262619
120	39.36835648
121	39.04898516
122	38.60071713
123	38.26324547
124	37.87747792
125	37.44389032
126	36.95624582
127	36.50725327
128	36.21647286
129	35.77778777
130	35.3597663
131	34.99705761
132	34.69360923
133	34.29141335
134	34.03034911
135	33.65792924
136	33.38681333
137	33.03054692
138	32.72662923
139	32.46804814
140	31.98511198
141	31.71881736
142	31.31504857
143	31.0206022
144	30.66675376
145	30.40823202
146	30.10263219
147	29.69730955
148	29.34282591
149	29.06329148
150	28.77645885
151	28.49623012
152	28.2418634
153	27.92416502
154	27.68280502
155	27.45291039
156	27.14107916
157	26.82096606
158	26.48266464
159	26.24319104
160	25.97484784
161	25.70302724
162	25.45669516
163	25.24155138
164	24.9816142
165	24.77695136
166	24.57677226
167	24.3853653
168	24.20554068
169	24.0044164
170	23.81707673
171	23.54852266
172	23.30108733
173	23.09100379
174	22.86787916
175	22.67484124
176	22.43634521
177	22.17582725
178	21.99659731
179	21.77937795
180	21.57928713
181	21.40245385
182	21.23850958
183	21.07873578
184	20.86546319
185	20.63537219
186	20.42869835
187	20.21230589
188	19.98730147
189	19.78431626
190	19.61381256
191	19.38582083
192	19.19140899
193	19.01204528
194	18.85441664
195	18.71184496
196	18.5390961
197	18.37194801
198	18.21615395
199	18.03378761
200	17.90671836
201	17.76007645
202	17.61662584
203	17.44551141
204	17.30072535
205	17.11952019
206	16.98110102
207	16.84024392
208	16.68123655
209	16.51162927
210	16.3636344
211	16.25347576
212	16.11255366
213	15.99183892
214	15.83148487
215	15.7019857
216	15.56680244
217	15.4495212
218	15.32112459
219	15.19584053
220	15.05146135
221	14.92388421
222	14.80408758
223	14.68957871
224	14.54238139
225	14.43415225
226	14.31855962
227	14.14311915
228	14.02893553
229	13.8912983
230	13.75717048
231	13.64255155
232	13.50910627
233	13.38663873
234	13.26323546
235	13.16000515
236	13.05983555
237	12.96566089
238	12.82536851
239	12.72196351
240	12.60571768
241	12.49608016
242	12.40206596
243	12.29219972
244	12.18504701
245	12.0807855
246	11.95179654
247	11.84629046
248	11.73120947
249	11.61786524
250	11.52093755
251	11.42661272
252	11.33397146
253	11.22722495
254	11.14497917
255	11.07550635
256	10.97831582
257	10.89542724
258	10.80890693
259	10.73510009
260	10.63225678
261	10.53833195
262	10.46625156
263	10.38492126
264	10.30504731
265	10.22272571
266	10.13734513
267	10.05199046
268	9.966261433
269	9.88340529
270	9.815115335
271	9.732936456
272	9.664341852
273	9.588453822
274	9.507932169
275	9.43450336
276	9.342684093
277	9.237699942
278	9.161069641
279	9.102584873
280	9.021040643
281	8.931357286
282	8.858119956
283	8.786455557
284	8.715030917
285	8.647177511
286	8.572061778
287	8.502928492
288	8.431773405
289	8.361450466
290	8.297856724
291	8.216499366
292	8.140332532
293	8.066857143
294	8.005246851
295	7.943264957
296	7.897814929
297	7.840222857
298	7.773156882
299	7.712358201
300	7.653230635
301	7.592747423
302	7.535062082
303	7.47349282
304	7.419640975
305	7.36023588
306	7.301753061
307	7.259964993
308	7.197492777
309	7.136698427
310	7.075858538
311	7.01817361
312	6.962916449
313	6.904529303
314	6.848918464
315	6.790522404
316	6.741143678
317	6.688233864
318	6.639270106
319	6.589521761
320	6.537103672
321	6.48495708
322	6.437063126
323	6.387591472
324	6.338155593
325	6.289303597
326	6.244158753
327	6.194987308
328	6.149477436
329	6.104571298
330	6.059161007
331	6.015123464
332	5.971318485
333	5.927159603
334	5.881797591
335	5.836982341
336	5.793123919
337	5.751567123
338	5.708694042
339	5.669016225
340	5.626476828
341	5.577577569
342	5.539151879
343	5.491712867
344	5.450813698
345	5.415384465
346	5.378412073
347	5.341861193
348	5.307326416
349	5.265384069
350	5.231528539
351	5.192932126
352	5.159687228
353	5.122466913
354	5.088079409
355	5.054085141
356	5.021953524
357	4.988577194
358	4.957027739
359	4.919396274
360	4.886884903
361	4.854746733
362	4.82425691
363	4.794104629
364	4.762764762
365	4.733157723
366	4.699056515
367	4.668610615
368	4.635251458
369	4.600748355
370	4.572328734
371	4.538466542
372	4.510605848
373	4.478511884
374	4.445503474
375	4.414030121
376	4.387094846
377	4.354917775
378	4.324237822
379	4.292644103
380	4.261412521
381	4.231535982
382	4.201210558
383	4.17477115
384	4.142610048
385	4.116644327
386	4.092934495
387	4.068965834
388	4.039600776
389	4.011533068
390	3.986529702
391	3.961787561
392	3.937303891
393	3.907318196
394	3.883001598
395	3.856132508
396	3.828868687
397	3.805321589
398	3.776269928
399	3.75291972
400	3.727202759
401	3.699158156
402	3.6764839
403	3.656622189
404	3.634303081
405	3.609608363
406	3.590219151
407	3.571040809
408	3.545714356
409	3.52689824
410	3.501988107
411	3.483527488
412	3.45840748
413	3.440281229
414	3.415573851
415	3.397775912
416	3.380171824
417	3.355998613
418	3.33381069
419	3.310080992
420	3.293110629
421	3.270887691
422	3.247697983
423	3.228865964
424	3.206077232
425	3.189812033
426	3.171485058
427	3.149207512
428	3.127770546
429	3.112080711
430	3.096562571
431	3.076689562
432	3.054271089
433	3.03920893
434	3.017677132
435	3.002894234
436	2.988273516
437	2.973813307
438	2.952993747
