iter	Passed	Remaining
0	147	147021
1	149	74694
2	151	50439
3	153	38310
4	156	31134
5	158	26254
6	160	22759
7	162	20177
8	165	18180
9	167	16556
10	169	15242
11	171	14158
12	174	13243
13	176	12432
14	178	11737
15	180	11122
16	182	10528
17	184	10051
18	186	9636
19	188	9256
20	191	8912
21	193	8615
22	196	8329
23	198	8062
24	200	7833
25	203	7605
26	205	7403
27	208	7227
28	210	7053
29	212	6857
30	214	6713
31	216	6562
32	219	6428
33	222	6315
34	224	6190
35	227	6081
36	230	5990
37	232	5889
38	234	5788
39	237	5705
40	239	5613
41	242	5530
42	245	5458
43	247	5387
44	250	5325
45	253	5258
46	256	5191
47	259	5145
48	262	5090
49	265	5053
50	268	5003
51	271	4941
52	273	4890
53	276	4841
54	279	4798
55	282	4755
56	284	4712
57	287	4672
58	290	4628
59	292	4586
60	295	4546
61	297	4508
62	299	4460
63	302	4427
64	305	4390
65	307	4354
66	310	4326
67	313	4293
68	315	4261
69	318	4232
70	321	4203
71	323	4167
72	326	4139
73	328	4114
74	331	4091
75	334	4062
76	336	4038
77	339	4015
78	342	3992
79	345	3973
80	348	3955
81	350	3921
82	353	3904
83	362	3950
84	368	3971
85	372	3955
86	375	3942
87	378	3920
88	380	3898
89	383	3880
90	386	3858
91	388	3838
92	391	3816
93	393	3795
94	396	3774
95	398	3755
96	401	3735
97	403	3717
98	407	3709
99	410	3697
100	413	3682
101	418	3685
102	422	3679
103	425	3665
104	428	3655
105	431	3642
106	435	3633
107	438	3619
108	441	3605
109	444	3592
110	446	3580
111	449	3566
112	452	3553
113	455	3542
114	458	3529
115	461	3516
116	464	3501
117	466	3489
118	469	3476
119	472	3462
120	474	3449
121	477	3436
122	480	3425
123	483	3414
124	486	3404
125	489	3394
126	492	3386
127	496	3380
128	499	3371
129	501	3357
130	504	3347
131	507	3339
132	511	3334
133	515	3329
134	518	3323
135	521	3315
136	524	3304
137	527	3292
138	530	3284
139	533	3274
140	535	3264
141	538	3254
142	542	3249
143	545	3242
144	548	3233
145	551	3226
146	554	3218
147	557	3209
148	560	3201
149	563	3192
150	566	3186
151	569	3177
152	572	3171
153	576	3164
154	579	3161
155	583	3154
156	586	3151
157	590	3145
158	593	3140
159	597	3135
160	600	3131
161	604	3129
162	608	3126
163	613	3129
164	649	3288
165	658	3306
166	846	4222
167	990	4903
168	1002	4927
169	1031	5034
170	1051	5098
171	1069	5146
172	1083	5178
173	1098	5212
174	1115	5258
175	1134	5312
176	1151	5353
177	1157	5345
178	1172	5379
179	1181	5383
180	1193	5400
181	1207	5427
182	1227	5479
183	1245	5522
184	1262	5562
185	1356	5936
186	1383	6013
187	1392	6013
188	1401	6013
189	1409	6006
190	1417	6005
191	1426	6001
192	1435	6001
193	1449	6022
194	1466	6055
195	1481	6077
196	1737	7082
197	1835	7434
198	1920	7732
199	1940	7760
200	2439	9696
201	2599	10267
202	3041	11939
203	3409	13303
204	3467	13448
205	3486	13439
206	3513	13460
207	3530	13444
208	3560	13475
209	3582	13477
210	3599	13458
211	3900	14496
212	4551	16815
213	4567	16776
214	4579	16722
215	4592	16670
216	4907	17708
217	4943	17733
218	4984	17777
219	5024	17814
220	5039	17762
221	5078	17799
222	5119	17837
223	5162	17882
224	5272	18160
225	5303	18162
226	5374	18300
227	5479	18554
228	5506	18539
229	5547	18571
230	5601	18647
231	5651	18707
232	5668	18659
233	5684	18606
234	5713	18598
235	5756	18635
236	5813	18714
237	5837	18688
238	5901	18790
239	5943	18820
240	5962	18778
241	5988	18757
242	6018	18747
243	6046	18732
244	6071	18711
245	6104	18711
246	6130	18690
247	6157	18670
248	6194	18681
249	6221	18664
250	6254	18665
251	6274	18622
252	6287	18563
253	6303	18514
254	6321	18469
255	6336	18415
256	6350	18359
257	6364	18304
258	6379	18250
259	6393	18197
260	6403	18131
261	6414	18068
262	6425	18006
263	6436	17944
264	6446	17880
265	6457	17818
266	6468	17759
267	6488	17722
268	6500	17664
269	6511	17604
270	6523	17549
271	6534	17489
272	6547	17436
273	6557	17375
274	6571	17324
275	6586	17278
276	6605	17240
277	6625	17206
278	6657	17203
279	6684	17187
280	6727	17214
281	6751	17190
282	6764	17137
283	6777	17087
284	6788	17030
285	6799	16974
286	6811	16921
287	6822	16867
288	6847	16846
289	6861	16799
290	6874	16749
291	6886	16697
292	6898	16645
293	6910	16594
294	6923	16545
295	6935	16495
296	6947	16445
297	6959	16393
298	6969	16339
299	6982	16292
300	6992	16238
301	7002	16184
302	7015	16138
303	7026	16085
304	7043	16049
305	7054	15999
306	7066	15951
307	7078	15903
308	7099	15876
309	7110	15826
310	7122	15779
311	7132	15727
312	7142	15676
313	7154	15629
314	7167	15585
315	7179	15540
316	7287	15701
317	7734	16588
318	7777	16603
319	7807	16591
320	7847	16600
321	7884	16602
322	7921	16603
323	7964	16618
324	7993	16601
325	8023	16588
326	8061	16590
327	8079	16552
328	8109	16540
329	8136	16519
330	8153	16479
331	8179	16458
332	8200	16425
333	8230	16411
334	8267	16411
335	8300	16402
336	8321	16370
337	8379	16411
338	8420	16419
339	8447	16397
340	8484	16395
341	8510	16373
342	8538	16354
343	8575	16352
344	8609	16344
345	8646	16342
346	8675	16326
347	8705	16310
348	8733	16290
349	8764	16276
350	8788	16250
351	8806	16211
352	8823	16173
353	8841	16133
354	8858	16094
355	8874	16053
356	8890	16012
357	8907	15974
358	8924	15935
359	8942	15897
360	8961	15861
361	8973	15815
362	8985	15767
363	9002	15730
364	9019	15691
365	9037	15655
366	9053	15615
367	9067	15572
368	9081	15529
369	9094	15485
370	9106	15438
371	9119	15395
372	9130	15347
373	9191	15385
374	9212	15354
375	9271	15387
376	9286	15345
377	9344	15375
378	9827	16103
379	9942	16221
380	10109	16424
381	10196	16496
382	10642	17143
383	11166	17912
384	11384	18184
385	11586	18429
386	11709	18546
387	12187	19222
388	12467	19582
389	12594	19698
390	13160	20497
391	13413	20805
392	13452	20778
393	13480	20734
394	13507	20688
395	13528	20634
396	13573	20616
397	13597	20567
398	13617	20511
399	13651	20477
400	13676	20429
401	13719	20408
402	13740	20355
403	13755	20292
404	13768	20228
405	13781	20162
406	13795	20099
407	13809	20037
408	13846	20007
409	13923	20036
410	14044	20126
411	14382	20526
412	14402	20470
413	14422	20414
414	14445	20363
415	14467	20310
